,created_at,id,visit_id,state
0,2024-01-14 11:25:22.889597,2019060,515725102.0,held
1,2024-01-05 12:17:37.790378,2009076,509837645.0,held
2,2024-03-06 21:13:36.779976,2094016,552236470.0,held
3,2024-02-10 22:39:52.937576,2052647,534974347.0,held
4,2024-02-18 18:58:46.747766,2064185,540372323.0,canceled
5,2024-03-03 09:15:44.126710,2087022,549619759.0,canceled
6,2024-02-26 19:12:43.824108,2078107,545924441.0,held
7,2024-01-04 14:37:21.323555,2007044,509093356.0,held
8,2024-03-02 10:08:39.192432,2085296,548960599.0,held
9,2024-02-12 04:35:34.099777,2054128,535847905.0,held
10,2024-03-20 07:49:01.964400,2120182,561869799.0,canceled
11,2024-01-05 11:30:57.943741,2008951,509740667.0,canceled
12,2024-02-08 21:25:47.578028,2049866,533538271.0,held
13,2024-02-28 20:44:27.248783,2081450,547328230.0,held
14,2024-03-02 12:13:11.778693,2085530,549030086.0,canceled
15,2024-02-13 08:52:04.147340,2055693,536646114.0,canceled
16,2024-02-23 19:52:42.617296,2073279,543732772.0,canceled
17,2024-01-05 15:02:45.718144,2009427,509989535.0,canceled
18,2024-02-25 18:19:58.280029,2076495,545196870.0,canceled
19,2024-02-20 15:18:14.754627,2067220,541660781.0,held
20,2024-03-25 14:32:30.859948,2131746,565771818.0,held
21,2024-03-09 16:27:44.500523,2099530,554087521.0,held
22,2024-03-20 09:24:09.354206,2120356,561872630.0,canceled
23,2024-01-06 08:12:03.356793,2010571,510516692.0,canceled
24,2024-03-06 08:41:27.919028,2092537,551798066.0,canceled
25,2024-03-31 09:56:41.249151,2144385,570068314.0,canceled
26,2024-03-19 19:52:28.881728,2119547,561424950.0,held
27,2024-03-20 09:02:05.271417,2120302,561872630.0,canceled
28,2024-03-23 14:40:37.279064,2127622,564447469.0,canceled
29,2024-01-01 19:41:11.401155,1999349,506525883.0,canceled
30,2024-01-01 19:41:11.738144,1999350,506525883.0,canceled
31,2024-03-20 09:00:07.347846,2120297,561903378.0,held
32,2024-02-26 20:32:45.044985,2078231,545975751.0,canceled
33,2024-01-20 15:40:14.882674,2025707,519923340.0,held
34,2024-01-08 23:04:23.168415,2013725,512393835.0,canceled
35,2024-02-23 10:40:21.182341,2072062,543431503.0,canceled
36,2024-02-04 21:40:55.906047,2044453,530756523.0,held
37,2024-01-04 12:48:13.345548,2006724,509010694.0,canceled
38,2024-03-14 10:32:34.288118,2108434,557450358.0,canceled
39,2024-01-09 10:43:55.198183,2013937,512612635.0,canceled
40,2024-02-16 12:30:43.051994,2060342,538796103.0,canceled
41,2024-02-17 17:53:58.212263,2062456,539645168.0,canceled
42,2024-03-21 09:28:28.904994,2122619,562760450.0,canceled
43,2024-01-04 18:33:46.480496,2007615,509289736.0,canceled
44,2024-02-16 12:31:31.261753,2060344,538796103.0,canceled
45,2024-02-28 13:41:26.943723,2080797,547101634.0,held
46,2024-01-23 14:14:00.292136,2028844,521841142.0,held
47,2024-01-20 23:01:52.917382,2026169,520162689.0,canceled
48,2024-01-06 14:37:59.981653,2011167,510754546.0,canceled
49,2024-02-20 12:27:59.867406,2066894,541552956.0,held
50,2024-03-12 14:35:42.464013,2105288,556225484.0,held
51,2024-03-09 10:11:38.748065,2098626,553834732.0,held
52,2024-03-09 10:10:53.909728,2098623,553834732.0,canceled
53,2024-02-17 09:27:21.019704,2061555,539350209.0,canceled
54,2024-03-14 16:29:50.659138,2109252,557613018.0,held
55,2024-01-19 16:57:54.406356,2024726,519337688.0,held
56,2024-02-05 20:18:53.942487,2045705,531404134.0,canceled
57,2024-01-29 17:51:14.869453,2036460,526338957.0,held
58,2024-02-29 15:28:51.086421,2082554,547839074.0,canceled
59,2024-02-19 09:37:59.096803,2064833,540728695.0,canceled
60,2024-03-10 20:19:59.132073,2101905,554966432.0,held
61,2024-01-13 08:24:13.313897,2018017,515054111.0,canceled
